,name,rows,cols,ub,link
0,Telco Customer Churn,7043.0,21.0,8.82,https://www.kaggle.com/datasets/blastchar/telco-customer-churn
1,Customer Churn,3333.0,11.0,9.41,https://www.kaggle.com/datasets/barun2104/telecom-churn
2,Bank Customer Churn,10000.0,18.0,10.00,https://www.kaggle.com/datasets/radheshyamkollipara/bank-customer-churn
3,Customer Churn Dataset,64400.00000000001,12.0,10.00,https://www.kaggle.com/datasets/muhammadshahidazeem/customer-churn-dataset
4,Bank Customer Churn Dataset,10000.0,12.0,10.00,https://www.kaggle.com/datasets/gauravtopre/bank-customer-churn-dataset
5,Customer Churn Dataset,10000.0,14.0,10.00,https://www.kaggle.com/datasets/anandshaw2001/customer-churn-dataset
6,Bank Customer Churn Prediction,10000.0,14.0,10.00,https://www.kaggle.com/datasets/shubhammeshram579/bank-customer-churn-prediction
7,Bank Customer Churn Prediction,10000.0,14.0,9.71,https://www.kaggle.com/datasets/shantanudhakadd/bank-customer-churn-prediction
8,Customer Churn Prediction,5880.0,21.0,10.00,https://www.kaggle.com/datasets/rashadrmammadov/customer-churn-dataset
9,Banking Customer Churn Prediction Dataset,10000.0,14.0,10.00,https://www.kaggle.com/datasets/saurabhbadole/bank-customer-churn-prediction-dataset
10,Customer Churn Prediction:Analysis,1000.0,10.0,10.00,https://www.kaggle.com/datasets/abdullah0a/telecom-customer-churn-insights-for-analysis
11,Telco Customer Churn,7043.0,33.0,8.82,https://www.kaggle.com/datasets/abdallahwagih/telco-customer-churn
12,Churn for Bank Customers,10000.0,14.0,10.00,https://www.kaggle.com/datasets/mathchi/churn-for-bank-customers
13,Customer Churn Rate,10000.0,14.0,10.00,https://www.kaggle.com/datasets/divu2001/customer-churn-rate
14,Bank Customers Churn,10000.0,14.0,9.71,https://www.kaggle.com/datasets/santoshd3/bank-customers
15,Telco customer churn (11.1.3+),7043.0,50.0,10.00,https://www.kaggle.com/datasets/alfathterry/telco-customer-churn-11-1-3
16,🙁📡 Telecom Customer Churn Prediction,7043.0,38.0,10.00,https://www.kaggle.com/datasets/shilongzhuang/telecom-customer-churn-by-maven-analytics
17,Internet Service Provider Customer Churn,72300.0,11.0,10.00,https://www.kaggle.com/datasets/mehmetsabrikunt/internet-service-churn
18,Tour & Travels Customer Churn Prediction,954.0,7.0,10.00,https://www.kaggle.com/datasets/tejashvi14/tour-travels-customer-churn-prediction
19,Telco customer churn: IBM dataset,7043.0,33.0,7.65,https://www.kaggle.com/datasets/yeanzc/telco-customer-churn-ibm-dataset
20,False,,,False,https://www.kaggle.com/datasets/borhanitrash/telco-customer-churn
21,Bank Customer Churn Prediction,10000.0,14.0,7.65,https://www.kaggle.com/datasets/marslinoedward/bank-customer-churn-prediction
22,Ecommerce Customer Churn Analysis and Prediction,5630.0,20.0,7.65,https://www.kaggle.com/datasets/ankitverma2010/ecommerce-customer-churn-analysis-and-prediction
23,Customer Churn,3150.0,16.0,5.29,https://www.kaggle.com/datasets/royjafari/customer-churn
24,Telecom Churn Dataset,667.0,20.0,10.00,https://www.kaggle.com/datasets/mnassrib/telecom-churn-datasets
25,Bank Customer Churn Dataset,10000.0,12.0,7.06,https://www.kaggle.com/datasets/bhuviranga/customer-churn-data
26,Telecom customer,99600.0,100.0,7.06,https://www.kaggle.com/datasets/abhinav89/telecom-customer
27,False,,,False,https://www.kaggle.com/datasets/pentakrishnakishore/bank-customer-churn-data
28,Customer Churn Prediction Dataset,300.0,21.0,6.47,https://www.kaggle.com/datasets/ahmedgaitani/customer-churn-prediction-dataset
29,Customer Churn,37000.0,24.0,7.65,https://www.kaggle.com/datasets/undersc0re/predict-the-churn-risk-rate
30,Netflix Customer Churn dataset,5000.0,14.0,10.00,https://www.kaggle.com/datasets/abdulwadood11220/netflix-customer-churn-dataset
31,Customer Churn,900.0,10.0,5.88,https://www.kaggle.com/datasets/hassanamin/customer-churn
32,Online Retail Customer Churn Dataset,1000.0,15.0,7.06,https://www.kaggle.com/datasets/hassaneskikri/online-retail-customer-churn-dataset
33,MTN Nigeria Customer Churn,974.0,17.0,10.00,https://www.kaggle.com/datasets/oluwademiladeadeniyi/mtn-nigeria-customer-churn
34,Telco customer churn (11.1.3+),7043.0,33.0,5.88,https://www.kaggle.com/datasets/ylchang/telco-customer-churn-1113
35,False,,,False,https://www.kaggle.com/datasets/beatafaron/telco-customer-churn-realistic-customer-feedback
36,Gym customers features and churn,4000.0,14.0,8.82,https://www.kaggle.com/datasets/adrianvinueza/gym-customers-features-and-churn
37,Bank Churn Dataset,110000.0,13.0,9.41,https://www.kaggle.com/datasets/rangalamahesh/bank-churn
38,📱📶 Customers churned in telecom services,7043.0,20.0,10.00,https://www.kaggle.com/datasets/kapturovalexander/customers-churned-in-telecom-services
39,JB Link Telco Customer Churn,7043.0,46.0,10.00,https://www.kaggle.com/datasets/johnflag/jb-link-telco-customer-churn
40,Bank Customer Churn,116000.0,25.0,10.00,https://www.kaggle.com/datasets/sandiledesmondmfazi/bank-customer-churn
41,🛒 E-commerce Customer Data For Behavior Analysis,250000.0,13.0,10.00,https://www.kaggle.com/datasets/shriyashjagtap/e-commerce-customer-for-behavior-analysis
42,Bank Customer Attrition Insights,10000.0,18.0,10.00,https://www.kaggle.com/datasets/marusagar/bank-customer-attrition-insights
43,Customer Churn Prediction Dataset,50000.0,7.0,10.00,https://www.kaggle.com/datasets/smayanj/customer-churn-prediction-dataset
44,Sunborn - customer churn,100000.0,9.0,10.00,https://www.kaggle.com/datasets/zsinghrahulk/sunborn-customer-churn
45,Why Do Customers Leave? Can You Spot the Churners?,7043.0,9.0,10.00,https://www.kaggle.com/datasets/hassanelfattmi/why-do-customers-leave-can-you-spot-the-churners
46,data telco customer churn,4930.0,11.0,8.82,https://www.kaggle.com/datasets/reyhanarighy/data-telco-customer-churn
47,Marketing Promotion Campaign Uplift Modelling,64000.0,9.0,10.00,https://www.kaggle.com/datasets/davinwijaya/customer-retention
48,Customer Churn,10000.0,11.0,10.00,https://www.kaggle.com/datasets/willianoliveiragibin/customer-churn
49,False,,,False,https://www.kaggle.com/datasets/samuelsemaya/e-commerce-customer-churn
50,Credit Card Customer Churn Prediction,10000.0,14.0,2.94,https://www.kaggle.com/datasets/rjmanoj/credit-card-customer-churn-prediction
51,Telco Customer Churn,7043.0,21.0,5.88,https://www.kaggle.com/datasets/mustafaoz158/telco-customer-churn
52,Telecom Customers,7043.0,21.0,8.82,https://www.kaggle.com/datasets/tarekmuhammed/telecom-customers
53,Telco Customer Churn,7043.0,21.0,7.06,https://www.kaggle.com/datasets/ayberkural/telco-customer-churn
54,Predictive Analytics for Customer Churn: Dataset,21.0,4.0,7.06,https://www.kaggle.com/datasets/safrin03/predictive-analytics-for-customer-churn-dataset
55,Predicting Credit Card Customer Segmentation,10100.0,23.0,10.00,https://www.kaggle.com/datasets/thedevastator/predicting-credit-card-customer-attrition-with-m
56,Predicting Churn for Bank Customers,10000.0,14.0,1.76,https://www.kaggle.com/datasets/adammaus/predicting-churn-for-bank-customers
57,Customer Churn,900.0,10.0,9.41,https://www.kaggle.com/datasets/ghassenkhaled/customer-churn
58,Logisticregression telecomCustomer churmprediction,7042.0,9.0,5.88,https://www.kaggle.com/datasets/dileep070/logisticregression-telecomcustomer-churmprediction
59,Churn Prediction of bank customers,10000.0,14.0,4.71,https://www.kaggle.com/datasets/sonalidasgupta95/churn-prediction-of-bank-customers
60,Telco Customer Churn,7043.0,52.0,7.06,https://www.kaggle.com/datasets/sibelius5/telco-customer-churn
61,Marketing Series: Customer Churn,544.0,20.0,9.12,https://www.kaggle.com/datasets/arashnic/marketing-series-customer-churn
62,Churn Modeling Dataset,10000.0,14.0,9.41,https://www.kaggle.com/datasets/shivan118/churn-modeling-dataset
63,Telecommunications Industry Customer churn dataset,7043.0,21.0,8.24,https://www.kaggle.com/datasets/aadityabansalcodes/telecommunications-industry-customer-churn-dataset
64,User churn,7032.0,21.0,10.00,https://www.kaggle.com/datasets/mikhail1681/user-churn
65,Churn Prediction for Credit Card Customer,10000.0,11.0,7.65,https://www.kaggle.com/datasets/mukeshmanral/churn-prediction-for-credit-card-customer
66,False,,,False,https://www.kaggle.com/datasets/aadrika/customer-churn
67,Telecom Churn Dataset,244000.0,14.0,8.82,https://www.kaggle.com/datasets/suraj520/telecom-churn-dataset
68,💳 Financial Transactions Dataset: Analytics,6146.0,13.0,10.00,https://www.kaggle.com/datasets/computingvictor/transactions-fraud-datasets
69,Employee Attrition,49700.0,18.0,8.24,https://www.kaggle.com/datasets/HRAnalyticRepository/employee-attrition-data
70,telecom churn (cell2cell),20000.0,58.0,6.47,https://www.kaggle.com/datasets/jpacse/datasets-for-churn-telecom
71,Daily Happiness & Employee Turnover,4847.0,5.0,8.82,https://www.kaggle.com/datasets/harriken/employeeturnover
72,IT Customer Chrun (Goal : Imbalanced Dataset),7043.0,20.0,9.71,https://www.kaggle.com/datasets/soheiltehranipour/it-customer-churn
73,Large Customer Churn Analysis Dataset,1000.0,11.0,9.41,https://www.kaggle.com/datasets/hajraamir21/large-customer-churn-analysis-dataset
74,Telcom customer churn,7043.0,21.0,1.76,https://www.kaggle.com/datasets/puja19/telcom-customer-churn
75,Telecom Customer Churn,3333.0,21.0,7.65,https://www.kaggle.com/datasets/nushkaa/telecom-customer-churn
76,Bank Customer Churn Prediction,10000.0,14.0,9.41,https://www.kaggle.com/datasets/murilozangari/customer-churn-from-a-bank
77,Sales and Customer Insights Dataset,10000.0,15.0,10.00,https://www.kaggle.com/datasets/imranalishahh/sales-and-customer-insights
78,Telco Customer Churn,7043.0,50.0,10.00,https://www.kaggle.com/datasets/rhonarosecortez/telco-customer-churn
79,Shopping Trends And Customer Behaviour Dataset,3900.0,18.0,9.41,https://www.kaggle.com/datasets/sahilislam007/shopping-trends-and-customer-behaviour-dataset
80,Churn Bank Customers AK,10000.0,14.0,6.47,https://www.kaggle.com/datasets/akelsayed/churn-bank-customers-ak
81,Customer Churn Dataset,10000.0,11.0,4.12,https://www.kaggle.com/datasets/simranjitkhehra/customer-churn-dataset
82,Bank Customer Churn,10000.0,14.0,8.24,https://www.kaggle.com/datasets/hemachandiranmurugan/bank-customer-churn
83,📞 Telecom Customer Churn,7043.0,21.0,10.00,https://www.kaggle.com/datasets/mexwell/telecom-customer-churn
84,Mobile Customer Churn Dataset,8550.0,33.0,7.06,https://www.kaggle.com/datasets/dyutidasmahaptra/mobile-customer-churn-dataset
85,Churn Risk Rate - HackerEarth ML,5.0,2.0,8.82,https://www.kaggle.com/datasets/imsparsh/churn-risk-rate-hackerearth-ml
86,Customer Dataset for Beginners,50.0,5.0,10.00,https://www.kaggle.com/datasets/aimack/customer
87,Binary Classification of Bank Churn Synthetic Data,175000.0,25.0,10.00,https://www.kaggle.com/datasets/cybersimar08/binary-classification-of-bank-churn-synthetic-data
88,Client churn rate in Telecom sector,3333.0,20.0,8.82,https://www.kaggle.com/datasets/sagnikpatra/edadata
89,Telecom Churn clean dataset,3333.0,20.0,10.00,https://www.kaggle.com/datasets/mahmoudshaheen1134/telecom-churn-clean-dataset
90,Customer-Churn-Dataset,7043.0,21.0,1.76,https://www.kaggle.com/datasets/girgismicheal/customerchurndataset
91,Churn Bank Customer,10000.0,14.0,8.82,https://www.kaggle.com/datasets/kartiksaini18/churn-bank-customer
92,Telecom Customer Churn Dataset,38.0,2.0,7.06,https://www.kaggle.com/datasets/shivam131019/telecom-churn-dataset
93,JOB-A-THON - March 2022,2851.0,2.0,7.65,https://www.kaggle.com/datasets/gauravduttakiit/jobathon-march-2022
